Sample No ,Sample,SWATH Processing Date,Acq_Type,SWATH Processing Instrument,SWATH File Name,SWATH file Location,,IDA run Date,IDA_MS_Filename,Location,MS_used,Operator,MS_Method,Acq_Type,,MS_comments,BS_upload,MS_Column,MS_Col_SN,MS_Trap
192,SK-N-BE2c,23/2/17,SWATH,ProCan 5, Cell_Study_SWATH_Sample 192,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,,,,,,,,,,,,,
193,SH-SY5Y,23/2/17,SWATH,ProCan 5, Cell_Study_SWATH_Sample 193,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,,,,,,,,,,,,,
194,LOX IMVI            ,23/2/17,SWATH,ProCan 5, Cell_Study_SWATH_Sample 194,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,,,,,,,,,,,,,
195,LOX SMC5A      ,23/2/17,SWATH,ProCan 5, Cell_Study_SWATH_Sample 195,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,,,,,,,,,,,,,
196,LOX SMC5B        ,23/2/17,SWATH,ProCan 5, Cell_Study_SWATH_Sample 196,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,,,,,,,,,,,,,
197,LOX TR6A3          ,23/2/17,SWATH,ProCan 5, Cell_Study_SWATH_Sample 197,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,,,,,,,,,,,,,
198,LOX TR7C1         ,23/2/17,SWATH,ProCan 5, Cell_Study_SWATH_Sample 198,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,,,,,,,,,,,,,
199,Calu-1,16/8/17,SWATH,ProCan 5,170816_SM_Cell_Study_SWATH_Sample_199,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,,,,,,,,,,,,,
200,AG11395,16/8/17,SWATH,ProCan 5,170816_SM_Cell_Study_SWATH_Sample_200,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,,,,,,,,,,,,,
201,A427,16/8/17,SWATH,ProCan 5,170816_SM_Cell_Study_SWATH_Sample_201,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,,,,,,,,,,,,,
202,Caski,16/8/17,SWATH,ProCan 5,170816_SM_Cell_Study_SWATH_Sample_202,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,,,,,,,,,,,,,
203,U2OS,16/8/17,SWATH,ProCan 5,170816_SM_Cell_Study_SWATH_Sample_203,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,,,,,,,,,,,,,
204,KPD,16/8/17,SWATH,ProCan 5,170816_SM_Cell_Study_SWATH_Sample_204,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,,,,,,,,,,,,,
205,ZK-58,16/8/17,SWATH,ProCan 5,170816_SM_Cell_Study_SWATH_Sample_205,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,,,,,,,,,,,,,
206,T-1000,16/8/17,SWATH,ProCan 5,170816_SM_Cell_Study_SWATH_Sample_206,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,,,,,,,,,,,,,
207,DOS16,16/8/17,SWATH,ProCan 5,170816_SM_Cell_Study_SWATH_Sample_207,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,,,,,,,,,,,,,
208,VL-7/4,16/8/17,SWATH,ProCan 5,170816_SM_Cell_Study_SWATH_Sample_208,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,,,,,,,,,,,,,
209,WMM1175,16/8/17,SWATH,ProCan 5,170816_SM_Cell_Study_SWATH_Sample_209,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,,,,,,,,,,,,,
210,NCCIT,16/8/17,SWATH,ProCan 5,170816_SM_Cell_Study_SWATH_Sample_210,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,,,,,,,,,,,,,
211,ECC1,16/8/17,SWATH,ProCan 5,170816_SM_Cell_Study_SWATH_Sample_211,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,,,,,,,,,,,,,
212,ZR-75-1,16/8/17,SWATH,ProCan 5,170816_SM_Cell_Study_SWATH_Sample_212,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,,,,,,,,,,,,,
213,SJSA-1,16/8/17,SWATH,ProCan 5,170816_SM_Cell_Study_SWATH_Sample_213,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,,,,,,,,,,,,,
214,TE-85,16/8/17,SWATH,ProCan 5,170816_SM_Cell_Study_SWATH_Sample_214,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,,,,,,,,,,,,,
215,SW1222,16/8/17,SWATH,ProCan 5,170816_SM_Cell_Study_SWATH_Sample_215,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,,,,,,,,,,,,,
216,Calu-1,16/8/17,SWATH,ProCan 5,170816_SM_Cell_Study_SWATH_Sample_216,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,,,,,,,,,,,,,
217,AG11395,16/8/17,SWATH,ProCan 5,170816_SM_Cell_Study_SWATH_Sample_217,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,,,,,,,,,,,,,
218,A427,16/8/17,SWATH,ProCan 5,170816_SM_Cell_Study_SWATH_Sample_218,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,,,,,,,,,,,,,
219,Caski,16/8/17,SWATH,ProCan 5,170816_SM_Cell_Study_SWATH_Sample_219,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,,,,,,,,,,,,,
220,U2OS,16/8/17,SWATH,ProCan 5,170816_SM_Cell_Study_SWATH_Sample_220,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,,,,,,,,,,,,,
221,KPD,18/8/17,SWATH,ProCan 5,170818_SM_Cell_Study_SWATH_Sample_221,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,,,,,,,,,,,,,
222,ZK-58,18/8/17,SWATH,ProCan 5,170818_SM_Cell_Study_SWATH_Sample_222,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,,,,,,,,,,,,,
223,T-1000,18/8/17,SWATH,ProCan 5,170818_SM_Cell_Study_SWATH_Sample_223,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,,,,,,,,,,,,,
224,DOS16,18/8/17,SWATH,ProCan 5,170818_SM_Cell_Study_SWATH_Sample_224,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,,,,,,,,,,,,,
225,VL-7/4,18/8/17,SWATH,ProCan 5,170818_SM_Cell_Study_SWATH_Sample_225,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,,,,,,,,,,,,,
226,WMM1175,18/8/17,SWATH,ProCan 5,170818_SM_Cell_Study_SWATH_Sample_226,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,,,,,,,,,,,,,
227,NCCIT,18/8/17,SWATH,ProCan 5,170818_SM_Cell_Study_SWATH_Sample_227,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,,,,,,,,,,,,,
228,ECC1,18/8/17,SWATH,ProCan 5,170818_SM_Cell_Study_SWATH_Sample_228,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,,,,,,,,,,,,,
229,ZR-75-1,18/8/17,SWATH,ProCan 5,170818_SM_Cell_Study_SWATH_Sample_229,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,,,,,,,,,,,,,
230,SJSA-1,18/8/17,SWATH,ProCan 5,170818_SM_Cell_Study_SWATH_Sample_230,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,,,,,,,,,,,,,
231,TE-85,18/8/17,SWATH,ProCan 5,170818_SM_Cell_Study_SWATH_Sample_231,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,,,,,,,,,,,,,
232,SW1222,18/8/17,SWATH,ProCan 5,170818_SM_Cell_Study_SWATH_Sample_232,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,,,,,,,,,,,,,
233,Calu-1,18/8/17,SWATH,ProCan 5,170818_SM_Cell_Study_SWATH_Sample_233,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,,,,,,,,,,,,,
234,AG11395,18/8/17,SWATH,ProCan 5,170818_SM_Cell_Study_SWATH_Sample_234,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,,,,,,,,,,,,,
235,A427,18/8/17,SWATH,ProCan 5,170818_SM_Cell_Study_SWATH_Sample_235,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,,,,,,,,,,,,,
236,Caski,29/12/17,SWATH,ProCan 5,171229_SM_PC5_S_Cell_Study_Sample_236,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,30/12/17,171230_SM_PC3_IDA_Cell_study_Sample_236,\\cmri-ProStor1\ProCan Storage - DAS 2\Procan\Procan3\SM\Data\171230,,,,,,,,,,
237,U2OS,29/12/17,SWATH,ProCan 5,171229_SM_PC5_S_Cell_Study_Sample_237,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,30/12/17,171230_SM_PC3_IDA_Cell_study_Sample_237,\\cmri-ProStor1\ProCan Storage - DAS 2\Procan\Procan3\SM\Data\171230,,,,,,,,,,
238,KPD,29/12/17,SWATH,ProCan 5,171229_SM_PC5_S_Cell_Study_Sample_238,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,30/12/17,171230_SM_PC3_IDA_Cell_study_Sample_238,\\cmri-ProStor1\ProCan Storage - DAS 2\Procan\Procan3\SM\Data\171230,,,,,,,,,,
239,ZK-58,29/12/17,SWATH,ProCan 5,171229_SM_PC5_S_Cell_Study_Sample_239,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,30/12/17,171230_SM_PC3_IDA_Cell_study_Sample_239,\\cmri-ProStor1\ProCan Storage - DAS 2\Procan\Procan3\SM\Data\171230,,,,,,,,,,
240,T-1000,29/12/17,SWATH,ProCan 5,171229_SM_PC5_S_Cell_Study_Sample_240,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,30/12/17,171230_SM_PC3_IDA_Cell_study_Sample_240,\\cmri-ProStor1\ProCan Storage - DAS 2\Procan\Procan3\SM\Data\171230,,,,,,,,,,
241,DOS16,29/12/17,SWATH,ProCan 5,171229_SM_PC5_S_Cell_Study_Sample_241,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,30/12/17,171230_SM_PC3_IDA_Cell_study_Sample_241,\\cmri-ProStor1\ProCan Storage - DAS 2\Procan\Procan3\SM\Data\171230,,,,,,,,,,
242,VL-7/4,29/12/17,SWATH,ProCan 5,171229_SM_PC5_S_Cell_Study_Sample_242,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,30/12/17,171230_SM_PC3_IDA_Cell_study_Sample_242,\\cmri-ProStor1\ProCan Storage - DAS 2\Procan\Procan3\SM\Data\171230,,,,,,,,,,
243,WMM1175,29/12/17,SWATH,ProCan 5,171229_SM_PC5_S_Cell_Study_Sample_243,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,30/12/17,171230_SM_PC3_IDA_Cell_study_Sample_243,\\cmri-ProStor1\ProCan Storage - DAS 2\Procan\Procan3\SM\Data\171230,,,,,,,,,,
244,NCCIT,29/12/17,SWATH,ProCan 5,171229_SM_PC5_S_Cell_Study_Sample_244,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,30/12/17,171230_SM_PC3_IDA_Cell_study_Sample_244,\\cmri-ProStor1\ProCan Storage - DAS 2\Procan\Procan3\SM\Data\171230,,,,,,,,,,
245,ECC1,29/12/17,SWATH,ProCan 5,171229_SM_PC5_S_Cell_Study_Sample_245,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,30/12/17,171230_SM_PC3_IDA_Cell_study_Sample_245,\\cmri-ProStor1\ProCan Storage - DAS 2\Procan\Procan3\SM\Data\171230,,,,,,,,,,
246,ZR-75-1,29/12/17,SWATH,ProCan 5,171229_SM_PC5_S_Cell_Study_Sample_246,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,30/12/17,171230_SM_PC3_IDA_Cell_study_Sample_246,\\cmri-ProStor1\ProCan Storage - DAS 2\Procan\Procan3\SM\Data\171230,,,,,,,,,,
247,SJSA-1,29/12/17,SWATH,ProCan 5,171229_SM_PC5_S_Cell_Study_Sample_247,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,30/12/17,171230_SM_PC3_IDA_Cell_study_Sample_247,\\cmri-ProStor1\ProCan Storage - DAS 2\Procan\Procan3\SM\Data\171230,,,,,,,,,,
248,TE-85,29/12/17,SWATH,ProCan 5,171229_SM_PC5_S_Cell_Study_Sample_248,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,30/12/17,171230_SM_PC3_IDA_Cell_study_Sample_248,\\cmri-ProStor1\ProCan Storage - DAS 2\Procan\Procan3\SM\Data\171230,,,,,,,,,,
249,SW1222,12/1/18,SWATH,ProCan 5,180112_SM_PC5_S_Cell_Study_Sample_repeat_249,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,30/12/17,171230_SM_PC3_IDA_Cell_study_Sample_249,\\cmri-ProStor1\ProCan Storage - DAS 2\Procan\Procan3\SM\Data\171230,,,,,,,,,,
250,SK-N-SH_A,29/12/17,SWATH,ProCan 5,171229_SM_PC5_S_Cell_Study_Sample_250,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,30/12/17,171230_SM_PC3_IDA_Cell_study_Sample_250,\\cmri-ProStor1\ProCan Storage - DAS 2\Procan\Procan3\SM\Data\171230,,,,,,,,,,
251,A549_A,17/12/17,SWATH,ProCan 5,171217_SM_PC5_S_Cell_Study_Sample_251,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,,,,,,,,,,,,,
252,Calu-6_A,17/12/17,SWATH,ProCan 5,171217_SM_PC5_S_Cell_Study_Sample_252,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,,,,,,,,,,,,,
253,143B_A,17/12/17,SWATH,ProCan 5,171217_SM_PC5_S_Cell_Study_Sample_253,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,,,,,,,,,,,,,
254,Hs729_A,17/12/17,SWATH,ProCan 5,171217_SM_PC5_S_Cell_Study_Sample_254,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,,,,,,,,,,,,,
255,Hs294T_A,17/12/17,SWATH,ProCan 5,171217_SM_PC5_S_Cell_Study_Sample_255,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,,,,,,,,,,,,,
256,IIICF/a2_A,17/12/17,SWATH,ProCan 5,171217_SM_PC5_S_Cell_Study_Sample_256,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,,,,,,,,,,,,,
257,SW982_A,17/12/17,SWATH,ProCan 5,171217_SM_PC5_S_Cell_Study_Sample_257,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,,,,,,,,,,,,,
258,JFCF-6/SUPT.1L_A,17/12/17,SWATH,ProCan 5,171217_SM_PC5_S_Cell_Study_Sample_258,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,,,,,,,,,,,,,
259,Si-Ha_A,17/12/17,SWATH,ProCan 5,171217_SM_PC5_S_Cell_Study_Sample_259,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,,,,,,,,,,,,,
260,MCF7_A,17/12/17,SWATH,ProCan 5,171217_SM_PC5_S_Cell_Study_Sample_260,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,,,,,,,,,,,,,
261,SK-N-AS_A,17/12/17,SWATH,ProCan 5,171217_SM_PC5_S_Cell_Study_Sample_261,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,,,,,,,,,,,,,
262,SK-N-MC_A,17/12/17,SWATH,ProCan 5,171217_SM_PC5_S_Cell_Study_Sample_262,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,,,,,,,,,,,,,
263,Hela_A,17/12/17,SWATH,ProCan 5,171217_SM_PC5_S_Cell_Study_Sample_263,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,,,,,,,,,,,,,
264,A2182_A,17/12/17,SWATH,ProCan 5,171217_SM_PC5_S_Cell_Study_Sample_264,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,,,,,,,,,,,,,
265,SW620_A,17/12/17,SWATH,ProCan 5,171217_SM_PC5_S_Cell_Study_Sample_265,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,,,,,,,,,,,,,
266,BT-549_A,31/12/17,SWATH,ProCan 5,171231_SM_PC5_S_Cell_Study_Sample_266,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,,,,,,,,,,,,,
267,HT1080_A,31/12/17,SWATH,ProCan 5,171231_SM_PC5_S_Cell_Study_Sample_267,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,,,,,,,,,,,,,
268,MG63_A,31/12/17,SWATH,ProCan 5,171231_SM_PC5_S_Cell_Study_Sample_268,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,,,,,,,,,,,,,
269,LMR-32_A,31/12/17,SWATH,ProCan 5,171231_SM_PC5_S_Cell_Study_Sample_269,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,,,,,,,,,,,,,
270,HOS_A,31/12/17,SWATH,ProCan 5,171231_SM_PC5_S_Cell_Study_Sample_270,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,,,,,,,,,,,,,
271,SK-N-DZ_A,31/12/17,SWATH,ProCan 5,171231_SM_PC5_S_Cell_Study_Sample_271,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,,,,,,,,,,,,,
272,HAL_A,31/12/17,SWATH,ProCan 5,171231_SM_PC5_S_Cell_Study_Sample_272,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,,,,,,,,,,,,,
273,T-47D_A,31/12/17,SWATH,ProCan 5,171231_SM_PC5_S_Cell_Study_Sample_273,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,,,,,,,,,,,,,
274,A172_A,31/12/17,SWATH,ProCan 5,171231_SM_PC5_S_Cell_Study_Sample_274,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,,,,,,,,,,,,,
275,JFCF-6/SUPT.1I_A,31/12/17,SWATH,ProCan 5,171231_SM_PC5_S_Cell_Study_Sample_275,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,,,,,,,,,,,,,
276,JFCF-6/SUPT.1G_A,31/12/17,SWATH,ProCan 5,171231_SM_PC5_S_Cell_Study_Sample_276,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,,,,,,,,,,,,,
277,SK-N-SH_A,31/12/17,SWATH,ProCan 5,171231_SM_PC5_S_Cell_Study_Sample_277,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,,,,,,,,,,,,,
278,A549_B,31/12/17,SWATH,ProCan 5,171231_SM_PC5_S_Cell_Study_Sample_278,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,,,,,,,,,,,,,
279,Calu-6_B,31/12/17,SWATH,ProCan 5,171231_SM_PC5_S_Cell_Study_Sample_279,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,,,,,,,,,,,,,
280,143B_B,31/12/17,SWATH,ProCan 5,171231_SM_PC5_S_Cell_Study_Sample_280,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,,,,,,,,,,,,,
281,Hs729_B,1/1/18,SWATH,ProCan 5,180101_SM_PC5_S_Cell_Study_Sample_281,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,,,,,,,,,,,,,
282,Hs294T_B,1/1/18,SWATH,ProCan 5,180101_SM_PC5_S_Cell_Study_Sample_282,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,,,,,,,,,,,,,
283,IIICF/a2_B,1/1/18,SWATH,ProCan 5,180101_SM_PC5_S_Cell_Study_Sample_283,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,,,,,,,,,,,,,
284,SW982_B,1/1/18,SWATH,ProCan 5,180101_SM_PC5_S_Cell_Study_Sample_284,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,,,,,,,,,,,,,
285,JFCF-6/SUPT.1L_B,1/1/18,SWATH,ProCan 5,180101_SM_PC5_S_Cell_Study_Sample_285,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,,,,,,,,,,,,,
286,Si-Ha_B,1/1/18,SWATH,ProCan 5,180101_SM_PC5_S_Cell_Study_Sample_286,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,,,,,,,,,,,,,
